Name,Ticker,Price,Last Filing,Market Cap ($M),Revenue Growth,Gross Margin,LTM FCF,LTM FCF %,Rule of 40 (LTM FCF),Rule of 40 (Quarter FCF),EV / Revenue Run Rate,EV / LTM Revenue,EV / NTM Revenue,EV / 2020 Revenue,EV / 2021 Revenue,EV / 2022 Revenue,EV / 2023 Revenue,EV / 2021 Gross Profit,EV / NTM Gross Profit,Net Dollar Retention,Quarter FCF,Quarter FCF %,LTM Free Cash Flow Growth %,EBITDA,EBITDA %,LTM EBITDA,EV / LTM EBITDA,Quarter Magic Number,LTM CAC Ratio,Current CAC Ratio,LTM Mean Payback Period,Quarter CAC Payback Period,Implied 5yr LTV ($K),Implied CAC,Implied 5yr LTV/CAC,ARR Per Customer ($K),ARR / Employee ($K),Annualized Opex / Employee,Run Rate/Employees,R&D %,G&A %,S&M %,Annualized Revenue Run Rate ($M),ARR Type,ARR ($M),ARR Growth,Growth Persistence,Last Year Quarter Growth,Operating Income %,Rule of 40 (Op In Margin),2020 Revenue,2021 Analyst Revenue Estimates,US Revenue %,Last Year Run Rate ($M),LTM Revenue ($M),LTM Revenue Growth,NTM Revenue Growth,NTM Revenue Updated,EV / LTM Free Cash Flow,Enterprise Value,Total Cash,Net Cash,Consensus Revenue (Mean),Consensus Revenue Beat (Mean),Founding Year,IPO Year,Multiple on IPO,% of 52 Week High,Last Reported Employees,Earnings Link
Veeva Systems,VEEV,"$294.98","2021-04-30","$45,108","29%","73%","$735","47%","76%","138%","24.8x","27.5x","22.7x","29.3x","24.0x","20.2x","17.0x","32.8x","31.0x",,"$475,729","110%","53%","135,074","31%","446,880","96.3x","2.4","1.2","1.7","10.2","6.9",,,,,,,,"19%","9%","15%","$1,734","Subscription Revenue * 4","$1,364","26%","76%","38%","30%","58%","$1,465","$1,791","57%","$1,348","$1,561","31%","21%","2021-06-03","58.4x","$42,958","$2,150",,"409,431","6%","2007","2013",,"93%",,https://www.sec.gov/Archives/edgar/data/1393052/000139305221000028/veev-20210430.htm
PagerDuty,PD,"$39.89","2021-04-30","$3,336","28%","84%","$8","4%","31%","29%","12.0x","13.5x","10.9x","14.4x","11.6x","9.2x","7.5x","13.9x","13.0x","121%","$652","1%",,"-19,266","-30%","-68,701",,"0.5","0.4","0.4","32.6","28.2","165","418321.0","0.4","18",,,,"32%","26%","59%","$254","Revenue * 4","$254",,"83%","33%","-33%","-6%","$213","$264","75%","$199","$227","28%","24%","2021-06-08","382.4x","$3,059","$557","$277","61,956","3%","2010","2019","1.1x","71%",,https://www.sec.gov/Archives/edgar/data/1568100/000156810021000029/pd-20210430.htm
Q2 Holdings,QTWO,"$97.62","2021-03-31","$5,497","26%","46%","$-20","-5%","21%","15%","11.9x","13.0x","10.6x","13.8x","11.2x","9.2x","7.7x","24.4x","23.3x",,"$-12,411","-11%",,"-4,601","-4%","-34,408",,"1.7","0.6","0.8","20.0","15.5",,,,,,,,"23%","16%","17%","$466","Subscription Revenue * 4","$340","29%","88%","30%","-15%","11%","$402","$496",,"$369","$426","27%","22%","2021-05-20","-276.6x","$5,532","$529","$-36","115,393","1%","2005","2014",,"67%",,https://www.sec.gov/Archives/edgar/data/1410384/000141038421000071/qtwo-20210331.htm
Zendesk,ZEN,"$136.60","2021-03-31","$16,208","26%","80%","$68","6%","32%","34%","13.6x","14.9x","11.7x","15.7x","12.4x","9.9x","8.1x","15.5x","14.7x","114%","$26,066","9%","1260%","-27,765","-9%","-122,615",,"0.4","0.4","0.3","32.9","37.0",,,,,"263","242.0","263.0","25%","14%","53%","$1,192","Revenue * 4","$1,192","26%","83%","31%","-13%","13%","$1,029","$1,310","51%","$949","$1,090","25%","27%","2021-05-05","238.2x","$16,200","$954","$8","294,495","1%","2007","2014",,"86%","4520",https://www.sec.gov/Archives/edgar/data/1463172/000146317221000166/zen-20210331.htm
Anaplan,PLAN,"$50.99","2021-04-30","$7,380","25%","75%","$-21","-4%","21%","31%","13.6x","14.9x","12.0x","15.8x","12.9x","10.2x","8.0x","17.2x","16.0x","118%","$7,610","6%",,"-42,653","-33%","-137,911",,"0.3","0.3","0.3","46.6","45.9",,,,,,,,"26%","19%","68%","$519","Subscription Revenue * 4","$473","26%","68%","37%","-38%","-13%","$447","$548","55%","$415","$473","26%","24%","2021-06-02","-335.8x","$7,052","$328",,"127,022","2%","2008","2018","2.1x","61%",,https://www.sec.gov/Archives/edgar/data/1540755/000154075521000006/plan-20210430.htm
Rapid7,RPD,"$88.16","2021-03-31","$4,860","24%","69%","$14","3%","28%","40%","10.9x","11.8x","9.7x","12.4x","10.2x","8.5x",,"14.7x","14.1x",,"$17,865","15%",,"-16,376","-14%","-52,867",,"0.3","0.3","0.2","35.8","55.1",,"-68810.4",,"50",,,,"28%","14%","47%","$469","Reported ARR","$456","30%","85%","29%","-20%","5%","$411","$502","79%","$377","$434","25%","21%","2021-05-12","365.0x","$5,110","$606","$-250","114,305","3%","2000","2015","3.3x","95%",,https://www.sec.gov/Archives/edgar/data/1560327/000156032721000071/rp-20210331.htm
Health Catalyst,HCAT,"$57.68","2021-03-31","$2,568","24%","51%","$-26","-13%","11%","8%","11.1x","12.4x","10.2x","13.2x","10.8x","8.9x",,"21.1x","20.0x",,"$-9,025","-16%",,"-16,503","-30%","-78,675",,"0.7","0.6","0.4","20.0","33.9",,,,,,,,"26%","27%","28%","$223","Revenue * 4","$223","24%","85%","28%","-44%","-20%","$188","$230",,"$180","$199","21%","22%","2021-05-29","-95.1x","$2,473","$266","$95","54,088","3%","2008","2019","1.5x","98%",,https://www.sec.gov/Archives/edgar/data/1636422/000163642221000046/hcat-20210331.htm
Domo,DOMO,"$69.65","2021-04-30","$2,207","24%","75%","$-12","-5%","18%","16%","9.3x","10.1x","8.7x","10.6x","9.0x","7.7x","6.3x","12.1x","11.6x","89%","$-4,506","-8%",,"-13,926","-23%","-61,573",,"0.4","0.3","0.3","41.5","39.0","372",,,"104",,,,"27%","17%","56%","$240","Subscription Revenue * 4","$208","23%","124%","19%","-25%","-1%","$210","$246","77%","$194","$221","22%","16%","2021-06-02","-185.2x","$2,222","$85","$-16","57,000","5%","2010","2018","2.9x","93%",,https://www.sec.gov/Archives/edgar/data/1505952/000150595221000017/domo10q-20210430.htm
Palo Alto Networks,PANW,"$362.45","2021-04-30","$35,299","24%","69%","$1,390","35%","58%","47%","8.3x","8.9x","7.4x","9.4x","7.8x","6.7x","5.8x","11.3x","10.7x",,"$250,900","23%","99%",,,"56,200","634.7x","0.5","0.5","0.4","24.7","32.5",,,,,,,,"29%","9%","42%","$4,295","Subscription Revenue * 4","$1,895","34%","120%","20%","-10%","13%","$3,782","$4,532",,"$3,477","$3,987","22%","20%","2021-05-28","25.6x","$35,545","$2,945","$-245","1,057,691","2%","2005","2012",,"91%",,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000014/panw-20210430.htm
Salesforce.com,CRM,"$240.19","2021-04-30","$222,416","23%","74%","$5,612","25%","48%","74%","8.8x","9.4x","7.7x","9.9x","8.2x","6.9x","5.6x","11.1x","10.5x",,"$3,057,000","51%","64%","1,039,000","17%","3,822,000","55.0x",,,,,,,,,,,,,"16%","9%",,"$23,852","Subscription Revenue * 4","$22,144","21%","75%","30%","6%","29%","$21,252","$25,503",,"$19,460","$22,350","23%","22%","2021-06-03","37.4x","$210,065","$15,023","$12,351","5,881,580","1%","1999","2004",,"85%",,https://www.sec.gov/Archives/edgar/data/1108524/000110852421000030/crm-20210430.htm
Workiva,WK,"$98.66","2021-03-31","$4,932","21%","77%","$37","10%","31%","32%","11.3x","12.7x","10.8x","13.3x","11.3x","9.7x",,"14.6x","14.0x",,"$10,654","10%","32%","-3,090","-3%","-28,584",,"1.1","0.6","0.8","21.3","14.1",,"378130.0",,"89",,,,"26%","16%","39%","$416","Subscription Revenue * 4","$339","24%","95%","23%","-4%","17%","$351","$416",,"$343","$370","18%","17%","2021-05-26","126.6x","$4,684","$541","$249","100,367","4%","2008","2014",,"86%",,https://www.sec.gov/Archives/edgar/data/1445305/000144530521000074/wk-20210331.htm
Pluralsight,PS,"$22.45","2020-09-30","$3,271","20%","79%","$-44","-12%","9%","5%","8.5x","8.9x","7.9x",,"7.6x","6.5x","5.3x","9.6x","10.0x",,"$-14,861","-15%",,"-23,500","-24%","-127,571",,"0.3","0.2","0.3","51.7","46.4",,,,,,,,"30%","20%","58%","$397","Revenue * 4","$397","20%","60%","34%","-28%","-8%",,"$440","61%","$330","$375","27%","13%","2021-03-10","-76.3x","$3,356","$405","$-85","95,322","4%","2004","2018",,"100%",,https://www.sec.gov/Archives/edgar/data/1725579/000172557920000062/ps-20200930.htm
SailPoint Technologies,SAIL,"$46.53","2021-03-31","$4,296","20%","73%","$24","6%","27%","6%","11.7x","11.2x","10.1x","11.7x","10.4x","9.1x","7.6x","14.3x","13.8x",,"$-12,984","-14%","-47%","-10,799","-12%","9,084","473.7x",,,,,,,,,,,,,"22%","12%","56%","$363","Subscription Revenue * 4","$236","35%","83%","25%","-17%","3%","$365","$408","72%","$301","$380","25%","11%","2021-05-14","177.6x","$4,264","$416","$32","91,580","-1%","2004","2017","3.1x","73%",,https://www.sec.gov/Archives/edgar/data/1627857/000162828021009712/sail-20210331.htm
Black Knight,BKI,"$74.56","2021-03-31","$11,677","20%",,"$310","24%","44%","34%","9.9x","10.7x","9.5x","11.2x","9.8x","9.0x","8.6x",,,,"$47,500","14%","14%","155,600","44%","567,200","24.5x",,,,,,,,,,,,,,,,"$1,398","Revenue * 4","$1,398","20%","756%","3%","19%","40%","$1,238","$1,423",,"$1,162","$1,297","10%","12%","2021-05-20","44.8x","$13,891","$45","$-2,214","336,755","4%","2013","2015",,"78%",,https://www.sec.gov/Archives/edgar/data/0001627014/000162701421000015/bki-20210331x10q.htm
Tenable Holdings,TENB,"$42.99","2021-03-31","$4,539","20%","82%","$77","17%","37%","51%","8.5x","9.1x","7.7x","9.5x","8.0x","6.8x",,"9.8x","9.4x",,"$37,564","30%",,"-2,986","-2%","-11,714",,"0.4","0.3","0.3","39.5","40.0",,,,"1,296",,,,"22%","17%","48%","$492","Subscription Revenue * 4","$429","24%","72%","28%","-5%","15%","$440","$522","65%","$410","$460","22%","18%","2021-05-01","54.5x","$4,199","$340",,"119,494","3%","2002","2018","1.3x","76%",,https://www.sec.gov/Archives/edgar/data/1660280/000166028021000054/tenb-20210331.htm
J2 Global,JCOM,"$127.54","2021-03-31","$5,754","20%","85%","$464","30%","50%","58%","4.4x","4.5x","4.1x","4.7x","4.1x","3.9x",,"4.8x","4.8x",,"$152,455","38%","36%","143,972","36%","598,093","11.7x",,,,,,,,,,,,,"5%","30%","30%","$1,592","Subscription Revenue * 4","$203","12%","183%","11%","20%","40%","$1,489","$1,685","81%","$1,329","$1,555","11%","10%","2021-05-25","15.0x","$6,967","$373","$-1,214","365,250","9%","1995","1999",,"99%",,https://www.sec.gov/Archives/edgar/data/1084048/000108404821000032/jcom-20210331.htm
BlackLine,BL,"$104.27","2021-03-31","$6,052","20%","78%","$53","14%","34%","43%","15.1x","16.2x","13.7x","16.9x","14.3x",,,"18.4x","17.6x","106%","$23,219","23%","121%","-12,163","-12%","-8,376",,"0.3","0.3","0.2","39.4","55.6","627","926163.3","0.7","105",,,,"19%","29%","49%","$395","Subscription Revenue * 4","$366","19%","68%","29%","-19%","1%","$352","$416","73%","$330","$368","20%","18%","2021-05-20","112.5x","$5,962","$1,157","$91","95,951","3%","2001","2016","4.3x","69%",,https://www.sec.gov/Archives/edgar/data/1666134/000166613421000010/bl-20210331.htm
8x8,EGHT,"$25.76","2021-03-31","$2,831","19%","58%","$-50","-9%","10%","15%","5.2x","5.6x","4.9x","5.9x","5.1x","4.4x","3.5x","8.8x","8.5x",,"$-6,614","-5%",,"-35,972","-25%","-127,966",,"0.5","0.2","0.3","56.5","41.4",,,,,"305","291.0","341.0","17%","19%","49%","$578","Reported ARR","$518","22%","65%","30%","-28%","-9%","$509","$585",,"$485","$532","19%","14%","2021-05-14","-59.7x","$2,986","$153","$-156","140,374","3%","1987","1997",,"68%","1696",https://www.sec.gov/Archives/edgar/data/1023731/000102373121000091/eght-20210331.htm#i812147a24a1844ba922529e2f3c20cb6_91
Microsoft Corporation,MSFT,"$257.24","2021-03-31","$1,937,422","19%","69%","$53,789","34%","53%","60%","11.2x","11.7x","10.4x","12.2x","10.7x","9.6x","9.0x","15.5x","15.2x",,"$17,090,000","41%","24%","19,984,000","48%","76,074,000","24.6x",,,,,,,,,,,,,"12%","3%","12%","$166,824","Revenue * 4",,,"131%","15%","41%","60%","$153,284","$175,341","49%","$140,084","$159,969","15%","12%","2021-05-27","34.8x","$1,870,073","$125,407","$67,349","40,938,727","2%","1975","1986",,"98%",,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/msft-10q_20210331.htm
Pegasystems,PEGA,"$128.56","2021-03-31","$10,450","18%","74%","$24","2%","20%","24%","8.5x","9.9x","8.4x","10.4x","8.6x","7.3x","5.9x","11.7x","11.4x",,"$19,866","6%",,"8,607","3%","-94,173",,"0.4",,"0.3",,"41.0",,,,,,,,"20%","6%","47%","$1,253","Subscription Revenue * 4","$1,019","23%","72%","25%","1%","19%","$1,017","$1,226","62%","$1,062","$1,065","10%","19%","2021-06-09","441.5x","$10,596","$442","$-146","295,930","6%","1983","1996",,"98%",,https://www.sec.gov/Archives/edgar/data/1013857/000101385721000093/pega-20210331.htm
Talend S.A.,TLND,"$65.30","2021-03-31","$2,128","17%","77%","$-21","-7%","10%","26%","6.6x","7.0x",,"7.3x","6.4x",,,"8.3x",,"108%","$6,586","8%",,"-19,644","-25%","-67,664",,"0.1","0.3","0.1","38.1","162.0","2,775","-7887.9",,"438",,,,"26%","25%","53%","$319","Reported ARR","$291","19%","97%","18%","-27%","-10%","$287","$327","45%","$272","$299","16%",,"2021-02-13","-99.9x","$2,098","$173","$30","77,855","3%","2005","2016","2.4x","100%",,https://www.sec.gov/Archives/edgar/data/0001668105/000166810521000027/tlnd-20210331.htm
Mimecast Limited,MIME,"$51.75","2021-03-31","$3,332","17%","76%","$30","6%","23%","35%","5.9x","6.3x","5.5x","6.5x","5.7x","5.0x",,"7.4x","7.2x","104%","$24,042","18%","-19%","17,459","13%","69,357","45.5x","0.4","0.3","0.3","35.5","41.8","73","150623.3","0.5","13",,,,"20%","13%","34%","$535","Revenue * 4","$535","17%","72%","24%","6%","23%","$481","$554",,"$456","$501","18%","15%","2021-05-25","104.8x","$3,143","$293","$189","131,084","2%","2003","2015",,"88%",,
RealPage,RP,"$88.72","2020-12-31","$9,058","17%","57%","$212","18%","35%","35%","7.8x","8.1x","7.2x","8.1x","7.3x",,,"12.7x","12.6x",,"$53,168","18%","-20%","63,622","21%","241,546","38.7x",,,,,,,,,,"156","75.0","156.0","12%","12%","20%","$1,192","Revenue * 4","$1,192","17%","139%","12%","9%","26%","$1,158","$1,286",,"$1,019","$1,158","17%","12%","2021-04-23","44.0x","$9,327","$595","$-269","294,798","1%","1998","2010",,"100%","7600",https://www.sec.gov/Archives/edgar/data/1286225/000128622521000007/rp-20201231.htm#ie938854df03243a492aa089bc9a339de_82
Medallia,MDLA,"$28.38","2021-04-30","$4,501","17%","64%","$-30","-6%","11%","23%","8.6x","9.1x","7.6x","9.5x","8.1x","6.8x",,"12.7x","11.9x","111%","$7,849","6%",,"-39,943","-30%","-109,838",,"0.2","0.2","0.1","56.3","89.4","2,350","377988.0","6.2","340",,,,"23%","23%","56%","$525","Subscription Revenue * 4","$424","19%","81%","20%","-38%","-22%","$477","$560","77%","$450","$495","18%","21%","2021-06-03","-150.7x","$4,521","$541","$-20","127,334","3%","2000","2019","0.8x","60%",,https://www.sec.gov/Archives/edgar/data/1540184/000154018421000017/mdla-20210430.htm
Commvault,CVLT,"$80.87","2021-03-31",,"16%","85%","$115","16%","32%","49%",,,,,,,,,,,"$62,526","33%","35%","12,525","7%","-7,635",,"0.2","0.4","0.1","30.0","89.6",,,,,"133","226.0","286.0","19%","12%","45%","$765","Subscription Revenue * 4","$357","35%",,"-9%","5%","22%","$696","$755",,"$658","$723","8%","6%","2021-05-14",,,"$397",,"182,375","5%",,,,"100%","2671",https://www.sec.gov/Archives/edgar/data/1169561/000116956121000018/cvlt-20210331.htm
Survey Monkey,SVMK,"$21.04","2021-03-31","$3,064","16%","80%","$59","15%","31%","31%","7.4x","7.8x","6.5x","8.1x","6.8x","5.7x","4.4x","8.5x","8.1x",,"$15,050","15%","64%","-16,121","-16%","-39,909",,"0.1","0.3","0.1","47.2","124.7",,,,,,,,"32%","23%","51%","$409","Revenue * 4","$409","16%","56%","29%","-26%","-10%","$375","$445","64%","$353","$389","19%","20%","2021-05-20","51.4x","$3,030","$247","$34","100,893","1%","1999","2018",,"75%",,https://www.sec.gov/Archives/edgar/data/1739936/000156459021025538/svmk-10q_20210331.htm
Splunk,SPLK,"$120.54","2021-04-30","$19,759","16%","66%","$-190","-8%","7%","30%","10.1x","8.8x","7.7x","9.1x","8.1x","6.8x","5.2x","12.4x","11.7x","129%","$69,807","14%",,"-409,551","-82%","-827,953",,,,,,,,,,,,,,"49%","32%","71%","$2,008","Reported ARR","$2,468","39%","721%","2%","-87%","-71%","$2,229","$2,490","69%","$1,736","$2,297","-6%","15%","2021-06-09","-106.4x","$20,222","$1,865","$-464","492,888","2%","2003","2012",,"54%",,https://www.sec.gov/Archives/edgar/data/1353283/000135328321000019/splk-20210430.htm
Workday,WDAY,"$229.07","2021-04-30","$56,580","15%","72%","$1,193","27%","42%","48%","11.8x","12.4x","10.6x","12.8x","11.2x","9.5x","8.0x","15.6x","14.8x",,"$382,632","33%","75%","44,150","4%","162,151","342.3x","0.5","0.4","0.4","32.4","32.4",,,,,,,,"38%","10%","28%","$4,700","Subscription Revenue * 4","$4,128","17%","66%","23%","-3%","12%","$4,317","$4,958","75%","$4,073","$4,474","17%","17%","2021-06-03","46.5x","$55,451","$2,995","$1,130","1,160,515","1%","2005","2012",,"81%",,https://www.sec.gov/Archives/edgar/data/1327811/000132781121000054/wday-20210430.htm
Proofpoint,PFPT,"$173.60","2021-03-31","$9,959","15%","74%","$200","18%","34%","46%","8.7x","9.2x","8.0x","9.5x","8.3x","7.0x","5.8x","11.1x","10.7x",,"$88,475","31%","-16%","-18,029","-6%","1,039","9983.9x","0.4","0.2","0.3","52.0","40.4",,,,,,,,"28%","11%","50%","$1,151","Subscription Revenue * 4","$1,134","16%","66%","23%","-15%","1%","$1,050","$1,207","77%","$999","$1,088","16%","15%","2021-05-11","49.9x","$9,984","$883","$-24","281,515","2%","2002","2012",,"100%",,https://www.sec.gov/Archives/edgar/data/1212458/000156459021023343/pfpt-10q_20210331.htm
Sumo Logic,SUMO,"$21.49","2021-04-30","$2,295","15%","72%","$-41","-20%","-5%","9%","9.3x","9.6x","8.1x","9.9x","8.7x","7.2x","6.2x","12.1x","11.3x","115%","$-2,966","-5%",,"-24,426","-45%","-72,366",,"0.0","0.2","0.0","62.3","1791.9",,,,,,,,"38%","27%","56%","$216","Revenue * 4","$216","15%","33%","45%","-49%","-34%","$202","$231","84%","$188","$209","24%","18%","2021-06-09","-48.9x","$2,005","$291",,"53,762","1%",,"2020","1.0x","53%",,https://www.sec.gov/Archives/edgar/data/1643269/000164326921000014/sumo-20210430.htm
Adobe,ADBE,"$535.52","2020-11-30","$256,353","14%","88%","$5,308","41%","56%","63%","18.6x","19.8x","16.6x","19.8x","16.2x","14.2x","12.4x","18.6x","18.9x",,"$1,679,000","49%","30%","1,405,000","41%","2,609,000","97.5x","0.5","0.4","0.4","32.5","27.3",,,,,"553","316.0","608.0","16%","7%","27%","$13,696","Subscription Revenue * 4","$12,460",,"67%","21%","35%","50%","$12,868","$15,678",,"$11,967","$12,868","15%","19%","2021-06-09","47.9x","$254,478","$5,992","$1,875","3,361,004","2%","1982","1986",,"100%","22516",https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/adbe-20201127.htm#ib32ef6f531ec46d8a6555201235bf70f_109
GoDaddy,GDDY,"$81.67","2021-03-31","$13,733","14%","64%","$691","20%","34%","37%","4.5x","4.8x","4.3x","4.9x","4.4x","3.9x","3.6x","6.8x","6.6x",,"$212,300","24%","1%",,,,,,,,,,,,,,,,,"21%","11%",,"$3,604","Revenue * 4","$3,604","14%","119%","12%","4%","18%","$3,316","$3,745","66%","$3,168","$3,425","12%","12%","2021-05-14","23.6x","$16,339","$1,293","$-2,606","885,387","2%","2014","2015","3.1x","88%",,https://www.sec.gov/Archives/edgar/data/1609711/000160971121000060/gddy-20210331.htm
Agora,API,"$44.66","2021-03-31",,"13%","58%","$-9","-7%","7%","-7%",,,,,,,,,,"131%","$-7,975","-20%",,"-13,906","-35%","-18,648",,"3.7",,"2.2",,"5.5","821","32476.0","25.3","68",,,,"63%","14%","22%","$160","Revenue * 4","$160","13%","8%","166%","-40%","-27%","$133","$182",,"$142","$138","60%",,,,,"$877","$876",,,,"2020",,"42%",,
LiveRamp Holdings,RAMP,"$48.36","2021-03-31","$3,308","13%","68%","$-23","-5%","8%","-3%","5.7x","6.2x",,"6.4x","5.6x","4.5x","3.7x","8.1x",,"101%","$-18,263","-15%",,"-45,631","-38%","-92,807",,,,,,,"2,349","2926933.3","0.8","456","314","445.0","397.0","39%","27%","45%","$476","Subscription Revenue * 4","$377",,"36%","35%","-44%","-31%","$429","$491","94%","$422","$443","17%",,,"-118.9x","$2,736","$573",,"116,550","2%","1999","1983",,"56%","1200",
Appian Corporation,APPN,"$111.04","2021-03-31","$7,867","13%","74%","$-9","-3%","10%","9%","21.5x","24.3x","20.7x","25.1x","21.6x","18.6x",,"29.3x","28.2x","118%","$-3,278","-4%",,"-9,212","-10%","-34,168",,"0.8","0.7","0.6","17.6","20.0",,,,,,,,"23%","22%","40%","$355","Revenue * 4","$355","13%","39%","32%","-12%","1%","$304","$354","68%","$315","$314","11%","17%","2021-05-11","-848.2x","$7,634","$233",,"82,373","8%","1999","2017","7.4x","47%",,https://www.sec.gov/Archives/edgar/data/0001441683/000144168321000041/appn-20210331.htm
Dropbox,DBX,"$29.75","2021-03-31","$11,936","12%","79%","$574","29%","42%","34%","4.9x","5.1x","4.6x","5.2x","4.7x","4.3x","4.0x","6.0x","5.9x",,"$108,800","21%","49%","77,200","15%","-106,800",,"0.3","0.4","0.2","28.3","55.9",,,,,,,,"35%","11%","20%","$2,046","Reported ARR","$2,112","13%","69%","18%","8%","21%","$1,913","$2,124","52%","$1,820","$1,970","14%","10%","2021-05-20","17.5x","$10,020","$1,916",,"505,012","1%","2007","2018","1.0x","100%",,https://www.sec.gov/Archives/edgar/data/1467623/000146762321000025/dbx-20210331.htm
Paycom Software,PAYC,"$335.41","2021-03-31","$20,186","12%","87%","$140","16%","28%","36%","18.4x","23.0x","18.5x","23.8x","19.7x","15.8x","12.5x","22.7x","21.3x",,"$64,127","24%","15%",,,,,"3.3","1.7","2.8","7.1","4.2",,,,,,,,"9%","17%","23%","$1,088","Subscription Revenue * 4","$1,071","12%","58%","21%","35%","47%","$841","$1,017",,"$969","$871","12%","24%","2021-05-08","142.9x","$20,001","$215","$185","271,420","0%","1998","2014",,"72%",,https://www.sec.gov/Archives/edgar/data/1590955/000156459021024960/payc-10q_20210331.htm
Ping Identity,PING,"$24.94","2021-03-31","$2,046","12%","70%","$18","7%","19%","40%","7.4x","8.1x","7.3x","8.4x","7.6x","6.7x",,"10.8x","10.5x","109%","$19,160","28%","500%",,,,,"0.9","0.4","0.6","29.6","18.7",,,,,,,,"31%","21%","37%","$275","Reported ARR","$266","16%","56%","22%","-26%","-14%","$243","$268","78%","$245","$251","-1%","10%","2021-05-27","112.8x","$2,030","$55","$16","62,827","10%","2016","2019","1.3x","66%",,https://www.sec.gov/Archives/edgar/data/1679826/000155837021005961/ping-20210331x10q.htm
Qualys,QLYS,"$103.05","2021-03-31","$4,034","12%","78%","$156","42%","54%","65%","10.1x","10.5x","9.5x","10.8x","9.8x","8.8x","7.8x","12.6x","12.2x",,"$51,595","53%","10%","6,373","7%","107,694","36.7x","0.4","0.5","0.3","24.6","35.4",,,,,"252","202.0","252.0","18%","43%","19%","$387","Revenue * 4","$387","12%","84%","14%","-3%","9%","$362","$402","62%","$345","$373","12%","11%","2021-06-03","25.2x","$3,925","$109",,"95,174","2%","1999","2012",,"71%","1535",https://www.sec.gov/Archives/edgar/data/1107843/000143774921010932/qlys20210331_10q.htm
LogMein,LOGM,"$86.04","2020-06-30","$4,218","12%","73%","$312","24%","36%","37%","3.0x","3.2x","2.9x",,"3.0x",,,"4.0x","3.9x",,"$88,586","25%","1%","101,557","29%","318,229","13.1x","0.9","0.3","0.7","39.7","18.2",,,,,"361","232.0","362.0","11%","9%","35%","$1,402","Revenue * 4","$1,402","12%","496%","2%","9%","21%",,"$1,406","77%","$1,252","$1,312","6%","11%","2020-07-31","13.4x","$4,169","$249","$49","328,100","7%","2003","2009",,"100%","3875",https://www.sec.gov/ix?doc=/Archives/edgar/data/1420302/000156459020034298/logm-10q_20200630.htm
Autodesk,ADSK,"$277.50","2021-04-30","$61,054","12%","91%","$1,452","37%","49%","44%","15.6x","15.9x","13.6x","16.3x","14.4x","12.2x","10.8x","15.9x","15.0x",,"$315,800","32%","-1%",,,,,,,,,,,,,,,,,"27%","11%",,"$3,957","Reported ARR","$967","12%","57%","20%",,,"$3,790","$4,292","44%","$3,542","$3,894","14%","17%","2021-06-02","42.5x","$61,768","$923","$-715","964,793","3%","1982","1985",,"87%",,https://www.sec.gov/Archives/edgar/data/769397/000076939721000034/adsk-20210430.htm
Box,BOX,"$25.04","2021-04-30","$4,076","10%","70%","$156","20%","30%","48%","4.7x","4.9x","4.4x","5.0x","4.5x","4.1x","3.6x","6.5x","6.3x","103%","$75,890","37%","721%","9,117","5%","53,247","72.3x","0.2","0.2","0.1","62.8","82.9",,,,,,,,"25%","15%","34%","$809","Revenue * 4","$809","10%","81%","13%","-5%","5%","$770","$843","69%","$734","$789","10%","10%","2021-06-02","24.6x","$3,831","$611","$245","200,478","1%","2005","2015","1.2x","100%",,https://www.sec.gov/Archives/edgar/data/1372612/000156459021031777/box-10q_20210430.htm
Akamai,AKAM,"$119.08","2021-03-31",,"10%","64%","$484","15%","25%","20%",,,,,,,,,,,"$85,074","10%",,"313,835","37%","1,182,220",,,,,,,,,,,,,,"10%","16%","14%","$3,370","Revenue * 4","$3,370","10%","125%","8%","22%","32%","$3,198","$3,433","55%","$3,057","$3,276","11%","7%","2021-05-22",,,"$1,288","$-636","829,696","2%",,,,"99%",,https://www.sec.gov/Archives/edgar/data/1086222/000108622221000146/akam-20210331.htm
Nuance,NUAN,"$54.96","2021-03-31","$15,723","10%","64%","$199","14%","24%","31%","12.2x","12.2x","12.0x","12.5x","12.1x","11.1x",,"19.0x","18.9x",,"$73,113","21%","-31%","63,151","18%","212,576","79.6x","0.1","0.4","0.0","27.8","252.4",,,,,,,,"17%","10%","20%","$1,387","Revenue * 4","$1,387",,,"-23%","11%","21%","$1,353","$1,398","80%","$1,263","$1,384","-9%","1%","2021-05-11","84.8x","$16,870","$412","$-1,147","345,450","0%","1992","1995",,"100%",,https://www.sec.gov/Archives/edgar/data/1002517/000100251721000033/nuan-20210331.htm
FireEye,FEYE,"$21.15","2021-03-31","$5,043","10%","66%","$115","12%","22%","14%","4.8x","4.9x","4.5x","5.0x","4.6x","4.3x","3.9x","7.1x","6.9x",,"$10,837","4%",,"-9,119","-4%","-29,178",,,,,,,,,,,,,,"29%","11%","40%","$985","Revenue * 4","$985","10%","143%","7%","-15%","-5%","$940","$1,018","61%","$898","$962","7%","8%","2021-05-01","41.0x","$4,715","$1,301","$328","237,256","4%","2004","2013",,"88%",,https://www.sec.gov/Archives/edgar/data/1370880/000137088021000020/feye-20210331.htm
